## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Africa Sub-Saharan,2004,Dep_J_A,2004,Expired,14
Africa Sub-Saharan,2004,Dep_J_A,2004,Valid visa,2894
Africa Sub-Saharan,2004,Dep_J_A,2005,Expired,136
Africa Sub-Saharan,2004,Dep_J_A,2005,Valid visa,2772
Africa Sub-Saharan,2004,Dep_J_A,2006,Expired,284
Africa Sub-Saharan,2004,Dep_J_A,2006,Valid visa,2624
Africa Sub-Saharan,2004,Dep_J_A,2007,Expired,338
Africa Sub-Saharan,2004,Dep_J_A,2007,Valid visa,2570
Africa Sub-Saharan,2004,Dep_J_A,2008,Expired,604
Africa Sub-Saharan,2004,Dep_J_A,2008,Valid visa,2304
Africa Sub-Saharan,2004,Dep_J_A,2009,Expired,635
Africa Sub-Saharan,2004,Dep_J_A,2009,Valid visa,2273
Africa Sub-Saharan,2004,Dep_J_A,2010,Expired,659
Africa Sub-Saharan,2004,Dep_J_A,2010,Valid visa,2249
Africa Sub-Saharan,2004,Dep_J_A,2011,Expired,675
Africa Sub-Saharan,2004,Dep_J_A,2011,Valid visa,2233
Africa Sub-Saharan,2004,Dep_J_A,2012,Expired,696
Africa Sub-Saharan,2004,Dep_J_A,2012,Valid visa,2212
Africa Sub-Saharan,2004,Dep_J_A,2013,Expired,725
Africa Sub-Saharan,2004,Dep_J_A,2013,Valid visa,2183
Africa Sub-Saharan,2004,Dep_J_A,2014,Expired,730
Africa Sub-Saharan,2004,Dep_J_A,2014,Valid visa,2178
Africa Sub-Saharan,2004,Dep_J_A,2015,Expired,732
Africa Sub-Saharan,2004,Dep_J_A,2015,Valid visa,2176
Africa Sub-Saharan,2004,Dep_J_A,2016,Expired,736
Africa Sub-Saharan,2004,Dep_J_A,2016,Valid visa,2172
Africa Sub-Saharan,2004,Dep_J_A,2017,Expired,737
Africa Sub-Saharan,2004,Dep_J_A,2017,Valid visa,2171
Africa Sub-Saharan,2004,Dep_J_A,2018,Expired,738
Africa Sub-Saharan,2004,Dep_J_A,2018,Valid visa,2170
Africa Sub-Saharan,2004,Dep_J_A,2019,Expired,743
Africa Sub-Saharan,2004,Dep_J_A,2019,Valid visa,2165
Africa Sub-Saharan,2004,Dep_J_A,2020,Expired,749
Africa Sub-Saharan,2004,Dep_J_A,2020,Valid visa,2159
Africa Sub-Saharan,2005,Dep_J_A,2005,Expired,15
Africa Sub-Saharan,2005,Dep_J_A,2005,Valid visa,2681
Africa Sub-Saharan,2005,Dep_J_A,2006,Expired,130
Africa Sub-Saharan,2005,Dep_J_A,2006,Valid visa,2566
Africa Sub-Saharan,2005,Dep_J_A,2007,Expired,321
Africa Sub-Saharan,2005,Dep_J_A,2007,Valid visa,2375
Africa Sub-Saharan,2005,Dep_J_A,2008,Expired,386
Africa Sub-Saharan,2005,Dep_J_A,2008,Valid visa,2310
Africa Sub-Saharan,2005,Dep_J_A,2009,Expired,612
Africa Sub-Saharan,2005,Dep_J_A,2009,Valid visa,2084
Africa Sub-Saharan,2005,Dep_J_A,2010,Expired,657
Africa Sub-Saharan,2005,Dep_J_A,2010,Valid visa,2039
Africa Sub-Saharan,2005,Dep_J_A,2011,Expired,675
Africa Sub-Saharan,2005,Dep_J_A,2011,Valid visa,2021
Africa Sub-Saharan,2005,Dep_J_A,2012,Expired,700
Africa Sub-Saharan,2005,Dep_J_A,2012,Valid visa,1996
Africa Sub-Saharan,2005,Dep_J_A,2013,Expired,720
Africa Sub-Saharan,2005,Dep_J_A,2013,Valid visa,1976
Africa Sub-Saharan,2005,Dep_J_A,2014,Expired,748
Africa Sub-Saharan,2005,Dep_J_A,2014,Valid visa,1948
Africa Sub-Saharan,2005,Dep_J_A,2015,Expired,756
Africa Sub-Saharan,2005,Dep_J_A,2015,Valid visa,1940
Africa Sub-Saharan,2005,Dep_J_A,2016,Expired,760
Africa Sub-Saharan,2005,Dep_J_A,2016,Valid visa,1936
Africa Sub-Saharan,2005,Dep_J_A,2017,Expired,762
Africa Sub-Saharan,2005,Dep_J_A,2017,Valid visa,1934
Africa Sub-Saharan,2005,Dep_J_A,2018,Expired,763
Africa Sub-Saharan,2005,Dep_J_A,2018,Valid visa,1933
Africa Sub-Saharan,2005,Dep_J_A,2019,Expired,766
Africa Sub-Saharan,2005,Dep_J_A,2019,Valid visa,1930
Africa Sub-Saharan,2005,Dep_J_A,2020,Expired,772
Africa Sub-Saharan,2005,Dep_J_A,2020,Valid visa,1924
Africa Sub-Saharan,2006,Dep_J_A,2006,Expired,13
Africa Sub-Saharan,2006,Dep_J_A,2006,Valid visa,2311
Africa Sub-Saharan,2006,Dep_J_A,2007,Expired,82
Africa Sub-Saharan,2006,Dep_J_A,2007,Valid visa,2242
Africa Sub-Saharan,2006,Dep_J_A,2008,Expired,228
Africa Sub-Saharan,2006,Dep_J_A,2008,Valid visa,2096
Africa Sub-Saharan,2006,Dep_J_A,2009,Expired,273
Africa Sub-Saharan,2006,Dep_J_A,2009,Valid visa,2051
Africa Sub-Saharan,2006,Dep_J_A,2010,Expired,374
Africa Sub-Saharan,2006,Dep_J_A,2010,Valid visa,1950
Africa Sub-Saharan,2006,Dep_J_A,2011,Expired,531
Africa Sub-Saharan,2006,Dep_J_A,2011,Valid visa,1793
Africa Sub-Saharan,2006,Dep_J_A,2012,Expired,541
Africa Sub-Saharan,2006,Dep_J_A,2012,Valid visa,1783
Africa Sub-Saharan,2006,Dep_J_A,2013,Expired,558
Africa Sub-Saharan,2006,Dep_J_A,2013,Valid visa,1766
Africa Sub-Saharan,2006,Dep_J_A,2014,Expired,565
Africa Sub-Saharan,2006,Dep_J_A,2014,Valid visa,1759
Africa Sub-Saharan,2006,Dep_J_A,2015,Expired,579
Africa Sub-Saharan,2006,Dep_J_A,2015,Valid visa,1745
Africa Sub-Saharan,2006,Dep_J_A,2016,Expired,584
Africa Sub-Saharan,2006,Dep_J_A,2016,Valid visa,1740
Africa Sub-Saharan,2006,Dep_J_A,2017,Expired,589
Africa Sub-Saharan,2006,Dep_J_A,2017,Valid visa,1735
Africa Sub-Saharan,2006,Dep_J_A,2018,Expired,589
Africa Sub-Saharan,2006,Dep_J_A,2018,Valid visa,1735
Africa Sub-Saharan,2006,Dep_J_A,2019,Expired,591
Africa Sub-Saharan,2006,Dep_J_A,2019,Valid visa,1733
Africa Sub-Saharan,2006,Dep_J_A,2020,Expired,608
Africa Sub-Saharan,2006,Dep_J_A,2020,Valid visa,1716
Africa Sub-Saharan,2007,Dep_J_A,2007,Expired,16
Africa Sub-Saharan,2007,Dep_J_A,2007,Valid visa,5036
Africa Sub-Saharan,2007,Dep_J_A,2008,Expired,119
Africa Sub-Saharan,2007,Dep_J_A,2008,Valid visa,4933
