## This is an edited version of migrant_journey_updated..._b.csv
## Dep. joining or accompanying => Dep_J_A
## Zero expired rows were omited. I've put them back in. 
## Africa Sub-Saharan => Sub_Saharan_Africa
nationality,year_issued,visa_cat_broad,year,status_year_end,value
Sub_Saharan_Africa,2004,Dep_J_A,2004,Expired,14
Sub_Saharan_Africa,2004,Dep_J_A,2004,Valid visa,2894
Sub_Saharan_Africa,2004,Dep_J_A,2005,Expired,136
Sub_Saharan_Africa,2004,Dep_J_A,2005,Valid visa,2772
Sub_Saharan_Africa,2004,Dep_J_A,2006,Expired,284
Sub_Saharan_Africa,2004,Dep_J_A,2006,Valid visa,2624
Sub_Saharan_Africa,2004,Dep_J_A,2007,Expired,338
Sub_Saharan_Africa,2004,Dep_J_A,2007,Valid visa,2570
Sub_Saharan_Africa,2004,Dep_J_A,2008,Expired,604
Sub_Saharan_Africa,2004,Dep_J_A,2008,Valid visa,2304
Sub_Saharan_Africa,2004,Dep_J_A,2009,Expired,635
Sub_Saharan_Africa,2004,Dep_J_A,2009,Valid visa,2273
Sub_Saharan_Africa,2004,Dep_J_A,2010,Expired,659
Sub_Saharan_Africa,2004,Dep_J_A,2010,Valid visa,2249
Sub_Saharan_Africa,2004,Dep_J_A,2011,Expired,675
Sub_Saharan_Africa,2004,Dep_J_A,2011,Valid visa,2233
Sub_Saharan_Africa,2004,Dep_J_A,2012,Expired,696
Sub_Saharan_Africa,2004,Dep_J_A,2012,Valid visa,2212
Sub_Saharan_Africa,2004,Dep_J_A,2013,Expired,725
Sub_Saharan_Africa,2004,Dep_J_A,2013,Valid visa,2183
Sub_Saharan_Africa,2004,Dep_J_A,2014,Expired,730
Sub_Saharan_Africa,2004,Dep_J_A,2014,Valid visa,2178
Sub_Saharan_Africa,2004,Dep_J_A,2015,Expired,732
Sub_Saharan_Africa,2004,Dep_J_A,2015,Valid visa,2176
Sub_Saharan_Africa,2004,Dep_J_A,2016,Expired,736
Sub_Saharan_Africa,2004,Dep_J_A,2016,Valid visa,2172
Sub_Saharan_Africa,2004,Dep_J_A,2017,Expired,737
Sub_Saharan_Africa,2004,Dep_J_A,2017,Valid visa,2171
Sub_Saharan_Africa,2004,Dep_J_A,2018,Expired,738
Sub_Saharan_Africa,2004,Dep_J_A,2018,Valid visa,2170
Sub_Saharan_Africa,2004,Dep_J_A,2019,Expired,743
Sub_Saharan_Africa,2004,Dep_J_A,2019,Valid visa,2165
Sub_Saharan_Africa,2004,Dep_J_A,2020,Expired,749
