Country	Visa	EntryYear	ParamIndex	Value
Bangladesh	Dep_J_A	2004	0	0.869932168628684
Bangladesh	Dep_J_A	2004	1	0.5180446971469295
Bangladesh	Dep_J_A	2004	2	0.4958567512851907
Bangladesh	Dep_J_A	2004	3	423.0
Bangladesh	Dep_J_A	2005	0	0.8901578785254192
Bangladesh	Dep_J_A	2005	1	0.6210127460239335
Bangladesh	Dep_J_A	2005	2	1.8893335627681518
Bangladesh	Dep_J_A	2005	3	774.0
Bangladesh	Dep_J_A	2006	0	0.9173888909622177
Bangladesh	Dep_J_A	2006	1	0.9019966661293957
Bangladesh	Dep_J_A	2006	2	2.6643074342098716
Bangladesh	Dep_J_A	2006	3	690.0
Bangladesh	Dep_J_A	2007	0	0.9175547086694417
Bangladesh	Dep_J_A	2007	1	0.8033213285546297
Bangladesh	Dep_J_A	2007	2	3.251350102670278
Bangladesh	Dep_J_A	2007	3	461.0
Bangladesh	Dep_J_A	2008	0	0.8844715004669395
Bangladesh	Dep_J_A	2008	1	0.9727343482936386
Bangladesh	Dep_J_A	2008	2	2.4126854192021603
Bangladesh	Dep_J_A	2008	3	554.0
Bangladesh	Dep_J_A	2009	0	0.9392495603461241
Bangladesh	Dep_J_A	2009	1	0.6898583690974994
Bangladesh	Dep_J_A	2009	2	2.183828162396015
Bangladesh	Dep_J_A	2009	3	511.0
Bangladesh	Dep_J_A	2010	0	0.9335254907723134
Bangladesh	Dep_J_A	2010	1	2.4500639810548455
Bangladesh	Dep_J_A	2010	2	2.3466630730364093
Bangladesh	Dep_J_A	2010	3	346.0
Bangladesh	Dep_J_A	2011	0	0.8447361599100636
Bangladesh	Dep_J_A	2011	1	0.13487781525633885
Bangladesh	Dep_J_A	2011	2	-0.6280524062754785
Bangladesh	Dep_J_A	2011	3	474.0
Bangladesh	Dep_J_A	2012	0	0.8818136704352237
Bangladesh	Dep_J_A	2012	1	0.6018864366869029
Bangladesh	Dep_J_A	2012	2	2.9741789974484822
Bangladesh	Dep_J_A	2012	3	349.0
Bangladesh	Dep_J_A	2013	0	0.8608684321488722
Bangladesh	Dep_J_A	2013	1	0.4233819506126256
Bangladesh	Dep_J_A	2013	2	2.1376415519471577
