# Emigration rates for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
White	0	0	0	0	0.075660682
White	0	0	0	1	0.043998912
White	0	0	0	2	0.024566462
White	0	0	0	3	0.015316782
White	0	0	0	4	0.009840983
White	0	0	0	5	0.017022129
White	0	0	0	6	0.018107475
White	0	0	0	7	0.014171044
White	0	0	0	8	0.010082098
White	0	0	0	9	0.007640331
White	0	0	0	10	0.00739089
White	0	0	0	11	0.00638334
White	0	0	0	12	0.005681848
White	0	0	0	13	0.005630562
White	0	0	0	14	0.006325638
White	0	0	0	15	0.0088761
White	0	0	0	16	0.010978504
White	0	0	0	17	0.021263273
White	0	0	0	18	0.033874744
White	0	0	0	19	0.080436553
White	0	0	0	20	0.098733653
White	0	0	0	21	0.114969805
White	0	0	0	22	0.12185791
White	0	0	0	23	0.123908063
White	0	0	0	24	0.120846051
White	0	0	0	25	0.093152162
White	0	0	0	26	0.083087302
White	0	0	0	27	0.070458307
White	0	0	0	28	0.055417554
White	0	0	0	29	0.056971143
White	0	0	0	30	0.042345887
White	0	0	0	31	0.03758609
White	0	0	0	32	0.038510681
White	0	0	0	33	0.038090839
White	0	0	0	34	0.031953175
White	0	0	0	35	0.027544852
White	0	0	0	36	0.025504666
White	0	0	0	37	0.022710089
White	0	0	0	38	0.020435652
White	0	0	0	39	0.020048107
White	0	0	0	40	0.021863495
White	0	0	0	41	0.020936111
White	0	0	0	42	0.021542998
White	0	0	0	43	0.020886617
White	0	0	0	44	0.017544493
White	0	0	0	45	0.015080626
White	0	0	0	46	0.012919371
White	0	0	0	47	0.011558475
White	0	0	0	48	0.008707025
White	0	0	0	49	0.011372327
White	0	0	0	50	0.008178558
White	0	0	0	51	0.008473277
White	0	0	0	52	0.00970417
White	0	0	0	53	0.009260673
White	0	0	0	54	0.005811411
White	0	0	0	55	0.008359381
White	0	0	0	56	0.007090908
White	0	0	0	57	0.005144059
White	0	0	0	58	0.007207774
White	0	0	0	59	0.007324131
White	0	0	0	60	0.005988569
White	0	0	0	61	0.005420073
White	0	0	0	62	0.006866113
White	0	0	0	63	0.002099265
White	0	0	0	64	0.005734851
White	0	0	0	65	0.005464249
White	0	0	0	66	0.002375774
White	0	0	0	67	0.003122483
White	0	0	0	68	0.003845168
White	0	0	0	69	0.005812697
White	0	0	0	70	0.009507097
White	0	0	0	71	0.010058383
White	0	0	0	72	0.007792439
White	0	0	0	73	0.008562389
White	0	0	0	74	0.007703326
White	0	0	0	75	0.00173391
White	0	0	0	76	0.001775192
White	0	0	0	77	0.00240514
White	0	0	0	78	0.001905235
White	0	0	0	79	0.00199449
White	0	0	0	80	0.00259756
White	0	0	0	81	0.002934122
White	0	0	0	82	0.003204442
White	0	0	0	83	0.003987656
White	0	0	0	84	0.003919104
White	0	0	0	85	0.003889195
White	0	0	0	86	0.003945162
White	0	0	0	87	0.005481723
White	0	0	0	88	0.006465503
White	0	0	0	89	0.053577056
White	0	0	0	90	0
White	0	0	0	91	0
White	0	0	0	92	0
White	0	0	0	93	0
White	0	0	0	94	0
White	0	0	0	95	0
White	0	0	0	96	0
White	0	0	0	97	0
White	0	0	0	98	0
White	0	0	0	99	0
White	0	0	0	100	0
White	0	1	0	0	0.069600429
White	0	1	0	1	0.042581085
White	0	1	0	2	0.029053483
White	0	1	0	3	0.019346583
White	0	1	0	4	0.013493181
White	0	1	0	5	0.024454809
White	0	1	0	6	0.025377591
White	0	1	0	7	0.021130904
White	0	1	0	8	0.018286171
White	0	1	0	9	0.01030927
White	0	1	0	10	0.010096267
White	0	1	0	11	0.007901587
White	0	1	0	12	0.007152597
White	0	1	0	13	0.006426813
White	0	1	0	14	0.008909399
White	0	1	0	15	0.006146821
White	0	1	0	16	0.007512713
White	0	1	0	17	0.014444576
White	0	1	0	18	0.025817742
White	0	1	0	19	0.064203879
White	0	1	0	20	0.085565735
White	0	1	0	21	0.097853919
White	0	1	0	22	0.075034643
White	0	1	0	23	0.063928008
White	0	1	0	24	0.079795543
White	0	1	0	25	0.062398214
White	0	1	0	26	0.049695939
White	0	1	0	27	0.036660406
White	0	1	0	28	0.029800657
White	0	1	0	29	0.02630301
White	0	1	0	30	0.019275649
White	0	1	0	31	0.016981952
White	0	1	0	32	0.018247878
White	0	1	0	33	0.017408452
White	0	1	0	34	0.026539604
White	0	1	0	35	0.021987033
White	0	1	0	36	0.021307366
White	0	1	0	37	0.021829397
White	0	1	0	38	0.020532163
White	0	1	0	39	0.011369672
White	0	1	0	40	0.013509086
White	0	1	0	41	0.013289792
White	0	1	0	42	0.012287696
White	0	1	0	43	0.012998295
White	0	1	0	44	0.009774105
White	0	1	0	45	0.007893473
White	0	1	0	46	0.006855109
White	0	1	0	47	0.007982039
White	0	1	0	48	0.006786413
White	0	1	0	49	0.007439127
White	0	1	0	50	0.005194533
White	0	1	0	51	0.005165236
White	0	1	0	52	0.005733222
White	0	1	0	53	0.005029998
White	0	1	0	54	0.003781344
White	0	1	0	55	0.005740041
White	0	1	0	56	0.004892448
White	0	1	0	57	0.003413319
White	0	1	0	58	0.00576589
White	0	1	0	59	0.004144621
White	0	1	0	60	0.003705687
White	0	1	0	61	0.003513609
White	0	1	0	62	0.004602002
White	0	1	0	63	0.001186075
White	0	1	0	64	0.005802558
White	0	1	0	65	0.004497277
White	0	1	0	66	0.002873806
White	0	1	0	67	0.003536345
White	0	1	0	68	0.002972948
White	0	1	0	69	0.005157148
White	0	1	0	70	0.009094334
White	0	1	0	71	0.006473787
White	0	1	0	72	0.007360545
White	0	1	0	73	0.008174539
White	0	1	0	74	0.007100187
White	0	1	0	75	0.001572198
White	0	1	0	76	0.001857957
White	0	1	0	77	0.002568398
White	0	1	0	78	0.001724162
White	0	1	0	79	0.001867348
White	0	1	0	80	0.002328474
White	0	1	0	81	0.002531029
White	0	1	0	82	0.0022003
White	0	1	0	83	0.003511812
White	0	1	0	84	0.003683973
White	0	1	0	85	0.003125911
White	0	1	0	86	0.003306622
White	0	1	0	87	0.003122707
White	0	1	0	88	0.004332925
White	0	1	0	89	0.025180865
White	0	1	0	90	0
White	0	1	0	91	0
White	0	1	0	92	0
White	0	1	0	93	0
White	0	1	0	94	0
White	0	1	0	95	0
White	0	1	0	96	0
White	0	1	0	97	0
White	0	1	0	98	0
White	0	1	0	99	0
White	0	1	0	100	0
White	0	0	1	0	0.006294646
White	0	0	1	1	0.003660522
White	0	0	1	2	0.002043825
White	0	0	1	3	0.001274291
White	0	0	1	4	0.000818728
White	0	0	1	5	0.001401855
White	0	0	1	6	0.001491239
White	0	0	1	7	0.001167055
White	0	0	1	8	0.00083031
White	0	0	1	9	0.000629219
White	0	0	1	10	0.000489249
White	0	0	1	11	0.000422553
White	0	0	1	12	0.000376117
White	0	0	1	13	0.000372722
White	0	0	1	14	0.000418733
White	0	0	1	15	0.000825503
White	0	0	1	16	0.001021033
White	0	0	1	17	0.001977546
White	0	0	1	18	0.00315045
White	0	0	1	19	0.007480834
White	0	0	1	20	0.008655024
White	0	0	1	21	0.01007829
White	0	0	1	22	0.010682103
White	0	0	1	23	0.01086182
White	0	0	1	24	0.010593404
White	0	0	1	25	0.010560456
White	0	0	1	26	0.009419425
White	0	0	1	27	0.007987704
White	0	0	1	28	0.006282566
White	0	0	1	29	0.006458693
White	0	0	1	30	0.005975125
White	0	0	1	31	0.005303504
White	0	0	1	32	0.005433967
White	0	0	1	33	0.005374726
White	0	0	1	34	0.004508684
White	0	0	1	35	0.004999298
White	0	0	1	36	0.004629011
White	0	0	1	37	0.004121805
White	0	0	1	38	0.003709002
White	0	0	1	39	0.003638664
White	0	0	1	40	0.003500304
White	0	0	1	41	0.003351832
White	0	0	1	42	0.003448993
White	0	0	1	43	0.003343908
White	0	0	1	44	0.00280884
White	0	0	1	45	0.002537123
White	0	0	1	46	0.00217352
White	0	0	1	47	0.001944566
White	0	0	1	48	0.001464846
White	0	0	1	49	0.001913249
White	0	0	1	50	0.001982545
White	0	0	1	51	0.002053987
White	0	0	1	52	0.002352365
White	0	0	1	53	0.002244858
White	0	0	1	54	0.001408731
White	0	0	1	55	0.001726459
White	0	0	1	56	0.001464482
White	0	0	1	57	0.0010624
White	0	0	1	58	0.001488618
White	0	0	1	59	0.001512649
White	0	0	1	60	0.001519283
White	0	0	1	61	0.001375057
White	0	0	1	62	0.001741913
White	0	0	1	63	0.000532578
White	0	0	1	64	0.001454915
White	0	0	1	65	0.001707693
White	0	0	1	66	0.000742479
White	0	0	1	67	0.000975842
White	0	0	1	68	0.001201696
White	0	0	1	69	0.001816591
White	0	0	1	70	0.001210931
White	0	0	1	71	0.001281149
White	0	0	1	72	0.000992533
White	0	0	1	73	0.001090603
White	0	0	1	74	0.000981183
White	0	0	1	75	0.001046497
White	0	0	1	76	0.001071413
White	0	0	1	77	0.001451616
White	0	0	1	78	0.001149899
White	0	0	1	79	0.001203769
White	0	0	1	80	0.001162058
White	0	0	1	81	0.001312625
White	0	0	1	82	0.001433556
White	0	0	1	83	0.001783939
White	0	0	1	84	0.001753271
White	0	0	1	85	0.001739891
White	0	0	1	86	0.001764929
White	0	0	1	87	0.002452333
White	0	0	1	88	0.002892442
White	0	0	1	89	0.023968517
White	0	0	1	90	0
White	0	0	1	91	0
White	0	0	1	92	0
White	0	0	1	93	0
White	0	0	1	94	0
White	0	0	1	95	0
White	0	0	1	96	0
White	0	0	1	97	0
White	0	0	1	98	0
White	0	0	1	99	0
White	0	0	1	100	0
White	0	1	1	0	0.005790459
White	0	1	1	1	0.003542565
White	0	1	1	2	0.002417126
White	0	1	1	3	0.001609553
White	0	1	1	4	0.001122575
White	0	1	1	5	0.002013973
White	0	1	1	6	0.002089969
White	0	1	1	7	0.001740233
White	0	1	1	8	0.001505955
White	0	1	1	9	0.000849019
White	0	1	1	10	0.000668334
White	0	1	1	11	0.000523055
White	0	1	1	12	0.000473475
White	0	1	1	13	0.000425431
White	0	1	1	14	0.000589768
White	0	1	1	15	0.000571672
White	0	1	1	16	0.000698704
White	0	1	1	17	0.001343388
White	0	1	1	18	0.002401125
White	0	1	1	19	0.005971148
White	0	1	1	20	0.00750072
White	0	1	1	21	0.008577906
White	0	1	1	22	0.006577561
White	0	1	1	23	0.00560395
White	0	1	1	24	0.006994903
White	0	1	1	25	0.007073948
White	0	1	1	26	0.005633919
White	0	1	1	27	0.00415611
White	0	1	1	28	0.003378435
White	0	1	1	29	0.002981914
White	0	1	1	30	0.002719849
White	0	1	1	31	0.002396202
White	0	1	1	32	0.002574828
White	0	1	1	33	0.002456382
White	0	1	1	34	0.003744814
White	0	1	1	35	0.003990572
White	0	1	1	36	0.003867215
White	0	1	1	37	0.003961962
White	0	1	1	38	0.003726518
White	0	1	1	39	0.002063557
White	0	1	1	40	0.002162779
White	0	1	1	41	0.002127671
White	0	1	1	42	0.001967237
White	0	1	1	43	0.002081003
White	0	1	1	44	0.001564816
White	0	1	1	45	0.001327976
White	0	1	1	46	0.001153285
White	0	1	1	47	0.001342876
White	0	1	1	48	0.001141727
White	0	1	1	49	0.001251538
White	0	1	1	50	0.001259195
White	0	1	1	51	0.001252093
White	0	1	1	52	0.001389777
White	0	1	1	53	0.00121931
White	0	1	1	54	0.000916627
White	0	1	1	55	0.001185488
White	0	1	1	56	0.001010435
White	0	1	1	57	0.000704951
White	0	1	1	58	0.001190826
White	0	1	1	59	0.000855986
White	0	1	1	60	0.000940122
White	0	1	1	61	0.000891392
White	0	1	1	62	0.001167515
White	0	1	1	63	0.000300904
White	0	1	1	64	0.001472092
White	0	1	1	65	0.001405494
White	0	1	1	66	0.000898125
White	0	1	1	67	0.001105182
White	0	1	1	68	0.000929109
White	0	1	1	69	0.001611717
White	0	1	1	70	0.001158357
White	0	1	1	71	0.000824575
White	0	1	1	72	0.000937522
White	0	1	1	73	0.001041202
White	0	1	1	74	0.00090436
White	0	1	1	75	0.000948896
White	0	1	1	76	0.001121365
White	0	1	1	77	0.00155015
White	0	1	1	78	0.001040613
White	0	1	1	79	0.001127033
White	0	1	1	80	0.001041679
White	0	1	1	81	0.001132295
White	0	1	1	82	0.000984338
White	0	1	1	83	0.001571063
White	0	1	1	84	0.001648082
White	0	1	1	85	0.001398424
White	0	1	1	86	0.001479268
White	0	1	1	87	0.001396991
White	0	1	1	88	0.0019384
White	0	1	1	89	0.011265046
White	0	1	1	90	0
White	0	1	1	91	0
White	0	1	1	92	0
White	0	1	1	93	0
White	0	1	1	94	0
White	0	1	1	95	0
White	0	1	1	96	0
White	0	1	1	97	0
White	0	1	1	98	0
White	0	1	1	99	0
White	0	1	1	100	0
Bangladesh	1	0	0	0	0.094102758
Bangladesh	1	0	0	1	0.05417097
Bangladesh	1	0	0	2	0.029281
Bangladesh	1	0	0	3	0.016921821
Bangladesh	1	0	0	4	0.009562342
Bangladesh	1	0	0	5	0.01415709
Bangladesh	1	0	0	6	0.012689678
Bangladesh	1	0	0	7	0.011741935
Bangladesh	1	0	0	8	0.006926637
Bangladesh	1	0	0	9	0.00509856
Bangladesh	1	0	0	10	0.004979111
Bangladesh	1	0	0	11	0.0035598
Bangladesh	1	0	0	12	0.003368035
Bangladesh	1	0	0	13	0.002948628
Bangladesh	1	0	0	14	0.003709652
Bangladesh	1	0	0	15	0.005570591
Bangladesh	1	0	0	16	0.006259721
Bangladesh	1	0	0	17	0.013165422
Bangladesh	1	0	0	18	0.019733739
Bangladesh	1	0	0	19	0.047420954
Bangladesh	1	0	0	20	0.049555329
Bangladesh	1	0	0	21	0.052656275
Bangladesh	1	0	0	22	0.055782806
Bangladesh	1	0	0	23	0.058724977
Bangladesh	1	0	0	24	0.062368701
Bangladesh	1	0	0	25	0.053725836
Bangladesh	1	0	0	26	0.047181812
Bangladesh	1	0	0	27	0.043950323
Bangladesh	1	0	0	28	0.033302304
Bangladesh	1	0	0	29	0.033476063
Bangladesh	1	0	0	30	0.025972851
Bangladesh	1	0	0	31	0.022192691
Bangladesh	1	0	0	32	0.0224119
Bangladesh	1	0	0	33	0.020125032
Bangladesh	1	0	0	34	0.016918318
Bangladesh	1	0	0	35	0.01587501
Bangladesh	1	0	0	36	0.01454198
Bangladesh	1	0	0	37	0.012156469
Bangladesh	1	0	0	38	0.013603331
Bangladesh	1	0	0	39	0.012383741
Bangladesh	1	0	0	40	0.011964339
Bangladesh	1	0	0	41	0.012095718
Bangladesh	1	0	0	42	0.014371083
Bangladesh	1	0	0	43	0.015015871
Bangladesh	1	0	0	44	0.013041914
Bangladesh	1	0	0	45	0.014282927
Bangladesh	1	0	0	46	0.013994317
Bangladesh	1	0	0	47	0.010592764
Bangladesh	1	0	0	48	0.008429518
Bangladesh	1	0	0	49	0.01081231
Bangladesh	1	0	0	50	0.010428715
Bangladesh	1	0	0	51	0.009893497
Bangladesh	1	0	0	52	0.011457743
Bangladesh	1	0	0	53	0.011924262
Bangladesh	1	0	0	54	0.007210085
Bangladesh	1	0	0	55	0.009117049
Bangladesh	1	0	0	56	0.008504017
Bangladesh	1	0	0	57	0.007119924
Bangladesh	1	0	0	58	0.011611548
Bangladesh	1	0	0	59	0.022280617
Bangladesh	1	0	0	60	0.029006502
Bangladesh	1	0	0	61	0.033473958
Bangladesh	1	0	0	62	0.049889481
Bangladesh	1	0	0	63	0.021138854
Bangladesh	1	0	0	64	0.039597511
Bangladesh	1	0	0	65	0.029331831
Bangladesh	1	0	0	66	0.009720292
Bangladesh	1	0	0	67	0.010633383
Bangladesh	1	0	0	68	0.010723513
Bangladesh	1	0	0	69	0.013627171
Bangladesh	1	0	0	70	0.007297249
Bangladesh	1	0	0	71	0.009021778
Bangladesh	1	0	0	72	0.006834777
Bangladesh	1	0	0	73	0.006899776
Bangladesh	1	0	0	74	0.006051067
Bangladesh	1	0	0	75	0.005915725
Bangladesh	1	0	0	76	0.00668177
Bangladesh	1	0	0	77	0.01028551
Bangladesh	1	0	0	78	0.007486326
Bangladesh	1	0	0	79	0.009133076
Bangladesh	1	0	0	80	0.010479979
Bangladesh	1	0	0	81	0.011150007
Bangladesh	1	0	0	82	0.021174362
Bangladesh	1	0	0	83	0.021369577
Bangladesh	1	0	0	84	0.024192648
Bangladesh	1	0	0	85	0.056662889
Bangladesh	1	0	0	86	0.054959344
Bangladesh	1	0	0	87	0.076720148
Bangladesh	1	0	0	88	0.086105005
Bangladesh	1	0	0	89	0.783434547
Bangladesh	1	0	0	90	0
Bangladesh	1	0	0	91	0
Bangladesh	1	0	0	92	0
Bangladesh	1	0	0	93	0
Bangladesh	1	0	0	94	0
Bangladesh	1	0	0	95	0
Bangladesh	1	0	0	96	0
Bangladesh	1	0	0	97	0
Bangladesh	1	0	0	98	0
Bangladesh	1	0	0	99	0
Bangladesh	1	0	0	100	0
Bangladesh	1	1	0	0	0.086707449
Bangladesh	1	1	0	1	0.051781277
Bangladesh	1	1	0	2	0.034185099
Bangladesh	1	1	0	3	0.01988131
Bangladesh	1	1	0	4	0.014313252
Bangladesh	1	1	0	5	0.02179855
Bangladesh	1	1	0	6	0.020815631
Bangladesh	1	1	0	7	0.017547286
Bangladesh	1	1	0	8	0.014182072
Bangladesh	1	1	0	9	0.007204276
Bangladesh	1	1	0	10	0.006362133
Bangladesh	1	1	0	11	0.004971025
Bangladesh	1	1	0	12	0.004799209
Bangladesh	1	1	0	13	0.00402388
Bangladesh	1	1	0	14	0.00610998
Bangladesh	1	1	0	15	0.004397563
Bangladesh	1	1	0	16	0.005434943
Bangladesh	1	1	0	17	0.011906671
Bangladesh	1	1	0	18	0.022825243
Bangladesh	1	1	0	19	0.05995576
Bangladesh	1	1	0	20	0.077170251
Bangladesh	1	1	0	21	0.068934832
Bangladesh	1	1	0	22	0.041413188
Bangladesh	1	1	0	23	0.032484669
Bangladesh	1	1	0	24	0.044464689
Bangladesh	1	1	0	25	0.039789229
Bangladesh	1	1	0	26	0.032522843
Bangladesh	1	1	0	27	0.024012139
Bangladesh	1	1	0	28	0.019220897
Bangladesh	1	1	0	29	0.016301518
Bangladesh	1	1	0	30	0.013210477
Bangladesh	1	1	0	31	0.01136033
Bangladesh	1	1	0	32	0.011882622
Bangladesh	1	1	0	33	0.010574804
Bangladesh	1	1	0	34	0.013152502
Bangladesh	1	1	0	35	0.012891365
Bangladesh	1	1	0	36	0.011763442
Bangladesh	1	1	0	37	0.011935969
Bangladesh	1	1	0	38	0.014257643
Bangladesh	1	1	0	39	0.007638492
Bangladesh	1	1	0	40	0.009346432
Bangladesh	1	1	0	41	0.010943527
Bangladesh	1	1	0	42	0.010630842
Bangladesh	1	1	0	43	0.011999787
Bangladesh	1	1	0	44	0.010577018
Bangladesh	1	1	0	45	0.009795656
Bangladesh	1	1	0	46	0.008890249
Bangladesh	1	1	0	47	0.00958188
Bangladesh	1	1	0	48	0.009682943
Bangladesh	1	1	0	49	0.009479695
Bangladesh	1	1	0	50	0.009836313
Bangladesh	1	1	0	51	0.009625711
Bangladesh	1	1	0	52	0.010059532
Bangladesh	1	1	0	53	0.008398751
Bangladesh	1	1	0	54	0.005506218
Bangladesh	1	1	0	55	0.0077139
Bangladesh	1	1	0	56	0.006043307
Bangladesh	1	1	0	57	0.004392974
Bangladesh	1	1	0	58	0.00608211
Bangladesh	1	1	0	59	0.004498594
Bangladesh	1	1	0	60	0.004702304
Bangladesh	1	1	0	61	0.005876072
