# Immigration data for 2011. 
Ethnicity	EthnicityIndex	Sex	ROB	Age	Value
White	0	0	0	0	651.2163062
White	0	0	0	1	652.2144664
White	0	0	0	2	606.6996088
White	0	0	0	3	651.4196654
White	0	0	0	4	488.3482054
White	0	0	0	5	222.3158165
White	0	0	0	6	183.1859366
White	0	0	0	7	204.7574923
White	0	0	0	8	229.6681614
White	0	0	0	9	351.7996153
White	0	0	0	10	372.3688235
White	0	0	0	11	392.578543
White	0	0	0	12	391.5123409
White	0	0	0	13	400.270554
White	0	0	0	14	899.2844412
White	0	0	0	15	1528.692539
White	0	0	0	16	1883.65316
White	0	0	0	17	2537.342373
White	0	0	0	18	3683.699656
White	0	0	0	19	5276.108313
White	0	0	0	20	6581.692434
White	0	0	0	21	7638.075362
White	0	0	0	22	7901.738735
White	0	0	0	23	7797.223724
White	0	0	0	24	7183.636128
White	0	0	0	25	6439.649364
White	0	0	0	26	6069.45432
White	0	0	0	27	6046.416086
White	0	0	0	28	5628.059917
White	0	0	0	29	3705.188602
White	0	0	0	30	3269.943871
White	0	0	0	31	3015.947151
White	0	0	0	32	2675.926534
White	0	0	0	33	2521.013421
White	0	0	0	34	2091.092453
White	0	0	0	35	1785.957636
White	0	0	0	36	1724.765793
White	0	0	0	37	1602.064673
White	0	0	0	38	1468.037283
White	0	0	0	39	755.293288
White	0	0	0	40	441.5756693
White	0	0	0	41	405.4795279
White	0	0	0	42	345.4372621
White	0	0	0	43	307.1268913
White	0	0	0	44	606.9489138
White	0	0	0	45	574.2861701
White	0	0	0	46	588.7644617
White	0	0	0	47	567.6573148
White	0	0	0	48	559.5652715
White	0	0	0	49	415.9942563
White	0	0	0	50	340.1647044
White	0	0	0	51	316.6874861
White	0	0	0	52	292.7225629
White	0	0	0	53	294.1471489
White	0	0	0	54	278.161444
White	0	0	0	55	198.9229733
White	0	0	0	56	191.4646744
White	0	0	0	57	207.3488459
White	0	0	0	58	154.5618867
White	0	0	0	59	195.4001646
White	0	0	0	60	164.4777857
White	0	0	0	61	152.6538197
White	0	0	0	62	122.0454853
White	0	0	0	63	276.0826628
White	0	0	0	64	124.3902904
White	0	0	0	65	72.34583085
White	0	0	0	66	108.699857
White	0	0	0	67	70.11082064
White	0	0	0	68	74.08629104
White	0	0	0	69	35.6564417
White	0	0	0	70	38.93811392
White	0	0	0	71	45.13887166
White	0	0	0	72	42.76150819
White	0	0	0	73	33.82844104
White	0	0	0	74	25.71819482
White	0	0	0	75	54.22690566
White	0	0	0	76	47.58680913
White	0	0	0	77	32.23231308
White	0	0	0	78	46.18001197
White	0	0	0	79	31.15369026
White	0	0	0	80	17.23910231
White	0	0	0	81	16.0972657
White	0	0	0	82	13.85568516
White	0	0	0	83	11.9572078
White	0	0	0	84	13.81337726
White	0	0	0	85	44.25974202
White	0	0	0	86	55.33109708
White	0	0	0	87	49.59264718
White	0	0	0	88	48.91846613
White	0	0	0	89	47.60352788
White	0	0	0	90	0
White	0	0	0	91	0
White	0	0	0	92	0
White	0	0	0	93	0
White	0	0	0	94	0
White	0	0	0	95	0
White	0	0	0	96	0
White	0	0	0	97	0
White	0	0	0	98	0
White	0	0	0	99	0
White	0	0	0	100	0
White	0	1	0	0	921.499047
White	0	1	0	1	857.3370525
White	0	1	0	2	773.2344225
White	0	1	0	3	791.163618
White	0	1	0	4	513.1365284
White	0	1	0	5	234.5554855
White	0	1	0	6	220.9129422
White	0	1	0	7	222.3793676
White	0	1	0	8	227.0059416
White	0	1	0	9	266.3367656
White	0	1	0	10	289.3658214
White	0	1	0	11	298.8747344
White	0	1	0	12	303.4835843
White	0	1	0	13	325.4119529
White	0	1	0	14	804.66414
White	0	1	0	15	1479.124507
White	0	1	0	16	1922.00047
White	0	1	0	17	2897.192002
White	0	1	0	18	4723.069305
White	0	1	0	19	5046.151143
White	0	1	0	20	6124.5215
White	0	1	0	21	7344.139004
White	0	1	0	22	6334.0252
White	0	1	0	23	6010.117691
White	0	1	0	24	5497.844371
White	0	1	0	25	4897.603823
White	0	1	0	26	4420.66853
White	0	1	0	27	4322.430877
White	0	1	0	28	3876.218728
White	0	1	0	29	2938.947225
White	0	1	0	30	2538.947424
White	0	1	0	31	2298.913637
White	0	1	0	32	1837.14714
White	0	1	0	33	1776.015278
White	0	1	0	34	1629.889243
White	0	1	0	35	1367.066205
White	0	1	0	36	1280.010884
White	0	1	0	37	1225.079555
White	0	1	0	38	1003.70022
White	0	1	0	39	1027.456913
White	0	1	0	40	676.5886663
White	0	1	0	41	633.6976493
White	0	1	0	42	577.3025757
White	0	1	0	43	481.249808
White	0	1	0	44	373.4417193
White	0	1	0	45	355.8398371
White	0	1	0	46	332.4869745
White	0	1	0	47	310.8862221
White	0	1	0	48	321.3991838
White	0	1	0	49	663.3425056
White	0	1	0	50	505.9739453
White	0	1	0	51	535.5756364
White	0	1	0	52	473.5434613
White	0	1	0	53	505.3128571
White	0	1	0	54	285.1633878
White	0	1	0	55	222.3185121
White	0	1	0	56	211.8662246
White	0	1	0	57	201.9433634
White	0	1	0	58	175.5166214
White	0	1	0	59	121.4780937
White	0	1	0	60	120.6182414
White	0	1	0	61	115.3013527
White	0	1	0	62	76.57496955
White	0	1	0	63	242.9662166
