# Mortality data at baseline in 2011. 
Age	Sex	Ethnicity	EthnicityIndex	Value
0	0	White	0	0.001518136
1	0	White	0	0.000291142
2	0	White	0	0.000188158
3	0	White	0	0.000148257
4	0	White	0	0.000135855
5	0	White	0	0.000131927
6	0	White	0	0.000140243
7	0	White	0	0.000134781
8	0	White	0	0.000106058
9	0	White	0	0.000106632
10	0	White	0	0.000121439
11	0	White	0	0.000131123
12	0	White	0	0.000152596
13	0	White	0	0.000168073
14	0	White	0	0.000167113
15	0	White	0	0.000182393
16	0	White	0	0.000272515
17	0	White	0	0.000400976
18	0	White	0	0.000459824
19	0	White	0	0.000484874
20	0	White	0	0.000500989
21	0	White	0	0.000509016
22	0	White	0	0.000511409
23	0	White	0	0.00056333
24	0	White	0	0.000595895
25	0	White	0	0.000552528
26	0	White	0	0.000593813
27	0	White	0	0.000630318
28	0	White	0	0.000699643
29	0	White	0	0.000706269
30	0	White	0	0.00069196
31	0	White	0	0.000752546
32	0	White	0	0.000855346
33	0	White	0	0.001002428
34	0	White	0	0.001062901
35	0	White	0	0.001084855
36	0	White	0	0.001121589
37	0	White	0	0.001175768
38	0	White	0	0.001219019
39	0	White	0	0.001408779
40	0	White	0	0.001579038
41	0	White	0	0.001634881
42	0	White	0	0.001746594
43	0	White	0	0.001803449
44	0	White	0	0.00187747
45	0	White	0	0.002014139
46	0	White	0	0.002222715
47	0	White	0	0.002470577
48	0	White	0	0.002794358
49	0	White	0	0.002807622
50	0	White	0	0.002852085
51	0	White	0	0.003352033
52	0	White	0	0.00387319
53	0	White	0	0.004656025
54	0	White	0	0.005062282
55	0	White	0	0.005321249
56	0	White	0	0.005934708
57	0	White	0	0.006384483
58	0	White	0	0.006673356
59	0	White	0	0.007376656
60	0	White	0	0.008558356
61	0	White	0	0.009463407
62	0	White	0	0.009832512
63	0	White	0	0.009696417
64	0	White	0	0.010682384
65	0	White	0	0.012519115
66	0	White	0	0.013700883
67	0	White	0	0.015207415
68	0	White	0	0.018392616
69	0	White	0	0.02123337
