# Data collected in function IntegratedPopEvolution2()
# In arrays DEBUGinflow and DEBUGoutflow
# 
Year	Ethnicity	Age	Inflow	Outflow
1	0	0	0	0
1	0	1	1764	4115
1	0	2	1743	2266
1	0	3	1582	1427
1	0	4	1670	985
1	0	5	1230	659
1	0	6	660	1146
1	0	7	614	1199
1	0	8	652	1024
1	0	9	724	788
1	0	10	951	525
1	0	11	998	454
1	0	12	1043	396
1	0	13	1023	389
1	0	14	1065	383
1	0	15	2567	479
1	0	16	3207	632
1	0	17	3981	695
1	0	18	5745	1353
1	0	19	8654	2401
1	0	20	10788	6019
1	0	21	12995	8301
1	0	22	15235	9427
1	0	23	14419	9137
1	0	24	13764	9501
1	0	25	12826	10901
1	0	26	12192	10554
1	0	27	11317	9573
1	0	28	11303	8059
1	0	29	10441	6721
1	0	30	7157	6566
1	0	31	6694	5607
1	0	32	6164	4721
1	0	33	5182	4737
1	0	34	4884	4456
1	0	35	4306	4613
1	0	36	3874	4288
1	0	37	3761	4209
1	0	38	3594	4051
1	0	39	3045	3855
1	0	40	2261	3388
1	0	41	1831	3514
1	0	42	1685	3414
1	0	43	1485	3520
1	0	44	1319	3528
1	0	45	1612	3152
1	0	46	1455	2915
1	0	47	1428	2924
1	0	48	1442	2893
1	0	49	1367	2798
1	0	50	1676	3081
1	0	51	1711	2893
1	0	52	1710	2913
1	0	53	1628	3322
1	0	54	1611	3570
1	0	55	1113	3357
1	0	56	1029	3551
1	0	57	1005	3566
1	0	58	1013	3623
1	0	59	806	3767
1	0	60	779	4038
1	0	61	704	4512
1	0	62	656	5057
1	0	63	463	5692
1	0	64	1251	5722
1	0	65	639	6953
1	0	66	555	5964
1	0	67	1010	6450
1	0	68	600	6797
1	0	69	603	7841
1	0	70	415	7646
1	0	71	408	7712
1	0	72	459	8354
1	0	73	497	8678
1	0	74	457	9485
1	0	75	309	9923
1	0	76	355	10508
1	0	77	340	11054
1	0	78	286	11305
1	0	79	264	12336
1	0	80	209	13768
1	0	81	211	14818
1	0	82	189	14937
1	0	83	189	15227
1	0	84	178	15472
1	0	85	165	16095
1	0	86	149	16046
1	0	87	192	15690
1	0	88	213	15566
1	0	89	145	15151
1	0	90	339	16632
1	0	91	0	14635
1	0	92	0	11937
1	0	93	0	8084
1	0	94	0	6523
1	0	95	0	6567
1	0	96	0	5498
1	0	97	0	4817
1	0	98	0	3772
1	0	99	0	2810
1	0	100	0	1992
1	1	0	18	0
1	1	1	34	92
1	1	2	34	52
1	1	3	32	42
1	1	4	27	18
1	1	5	19	15
1	1	6	20	31
1	1	7	19	30
1	1	8	29	24
1	1	9	23	21
1	1	10	27	13
1	1	11	38	17
1	1	12	50	17
1	1	13	44	22
1	1	14	37	35
1	1	15	179	54
1	1	16	138	54
1	1	17	152	109
1	1	18	180	161
1	1	19	149	199
1	1	20	178	288
1	1	21	164	361
1	1	22	165	448
1	1	23	177	560
1	1	24	177	583
1	1	25	118	614
1	1	26	144	618
1	1	27	136	605
1	1	28	140	484
1	1	29	138	480
1	1	30	98	437
1	1	31	90	382
1	1	32	83	314
1	1	33	102	289
1	1	34	69	243
1	1	35	60	239
1	1	36	52	226
1	1	37	49	150
1	1	38	60	163
1	1	39	55	156
1	1	40	22	129
1	1	41	28	119
1	1	42	21	128
1	1	43	37	111
1	1	44	29	82
1	1	45	19	75
1	1	46	9	83
1	1	47	12	56
1	1	48	19	61
1	1	49	22	54
1	1	50	12	49
1	1	51	7	46
1	1	52	14	50
1	1	53	17	38
1	1	54	13	46
1	1	55	2	29
1	1	56	8	26
1	1	57	8	22
1	1	58	7	28
1	1	59	4	32
1	1	60	6	22
1	1	61	6	24
1	1	62	1	32
1	1	63	2	20
1	1	64	7	17
1	1	65	10	35
1	1	66	8	23
1	1	67	9	18
1	1	68	8	27
1	1	69	1	27
1	1	70	3	39
1	1	71	4	39
1	1	72	2	41
1	1	73	4	43
1	1	74	4	40
1	1	75	2	49
1	1	76	1	37
1	1	77	2	32
1	1	78	2	41
1	1	79	3	43
1	1	80	0	24
1	1	81	4	25
1	1	82	0	34
1	1	83	2	25
1	1	84	0	26
1	1	85	0	22
1	1	86	0	14
1	1	87	0	19
1	1	88	0	8
1	1	89	2	5
1	1	90	0	28
1	1	91	0	7
1	1	92	0	5
1	1	93	0	3
1	1	94	0	2
1	1	95	0	4
1	1	96	0	1
1	1	97	0	2
1	1	98	0	3
1	1	99	0	1
1	1	100	11	0
1	2	0	181	0
1	2	1	220	161
1	2	2	244	83
1	2	3	255	96
1	2	4	253	68
1	2	5	214	67
1	2	6	227	88
1	2	7	250	87
1	2	8	259	103
1	2	9	224	107
1	2	10	326	77
1	2	11	340	119
1	2	12	338	127
1	2	13	341	163
1	2	14	347	210
1	2	15	537	260
1	2	16	415	301
1	2	17	418	392
1	2	18	396	483
1	2	19	442	583
1	2	20	616	716
1	2	21	603	866
1	2	22	626	1021
1	2	23	612	991
1	2	24	640	1134
1	2	25	651	1200
1	2	26	690	1259
1	2	27	689	1224
1	2	28	685	1168
1	2	29	679	1182
1	2	30	513	1163
1	2	31	555	1026
1	2	32	495	981
1	2	33	525	944
1	2	34	514	886
1	2	35	325	810
1	2	36	351	766
1	2	37	356	672
1	2	38	381	638
1	2	39	351	563
1	2	40	188	503
1	2	41	215	450
1	2	42	212	415
1	2	43	215	394
1	2	44	231	349
1	2	45	174	329
1	2	46	153	307
1	2	47	164	237
1	2	48	149	242
1	2	49	161	181
1	2	50	114	210
1	2	51	118	172
1	2	52	90	147
1	2	53	99	172
1	2	54	97	152
1	2	55	56	126
1	2	56	79	122
1	2	57	75	122
1	2	58	67	79
1	2	59	82	83
1	2	60	41	85
1	2	61	43	77
1	2	62	47	67
1	2	63	39	85
1	2	64	45	54
1	2	65	35	73
1	2	66	39	57
1	2	67	42	55
1	2	68	49	63
1	2	69	41	60
1	2	70	13	68
1	2	71	19	78
1	2	72	11	65
1	2	73	25	65
1	2	74	11	57
1	2	75	15	57
1	2	76	10	55
1	2	77	11	45
1	2	78	9	36
1	2	79	5	42
1	2	80	5	39
1	2	81	8	28
1	2	82	4	30
1	2	83	5	31
1	2	84	2	25
1	2	85	0	27
1	2	86	1	27
1	2	87	2	17
1	2	88	0	22
1	2	89	0	27
1	2	90	3	31
1	2	91	0	8
1	2	92	0	11
1	2	93	0	6
1	2	94	0	6
1	2	95	0	2
1	2	96	0	5
1	2	97	0	8
1	2	98	0	0
1	2	99	0	4
1	2	100	96	3
1	3	0	52	0
1	3	1	47	236
1	3	2	49	146
1	3	3	51	97
1	3	4	54	85
1	3	5	53	57
1	3	6	51	101
1	3	7	47	104
1	3	8	61	111
1	3	9	50	102
1	3	10	113	82
1	3	11	100	126
1	3	12	106	211
1	3	13	87	316
1	3	14	87	384
1	3	15	265	391
1	3	16	280	631
1	3	17	309	960
1	3	18	320	1472
1	3	19	397	1751
1	3	20	439	2349
1	3	21	406	2520
1	3	22	483	2523
1	3	23	463	2456
1	3	24	406	2392
1	3	25	222	2276
1	3	26	264	2153
1	3	27	252	1864
1	3	28	245	1450
1	3	29	247	1174
1	3	30	196	982
1	3	31	205	807
1	3	32	207	621
1	3	33	190	569
1	3	34	191	559
1	3	35	125	451
1	3	36	132	432
1	3	37	135	381
1	3	38	166	334
1	3	39	138	314
1	3	40	82	301
1	3	41	102	245
1	3	42	82	208
1	3	43	92	246
1	3	44	86	247
1	3	45	63	205
1	3	46	47	174
1	3	47	74	159
1	3	48	53	152
1	3	49	47	130
1	3	50	36	110
1	3	51	26	115
1	3	52	40	122
1	3	53	32	117
1	3	54	33	104
1	3	55	23	89
1	3	56	18	97
1	3	57	23	86
1	3	58	30	55
1	3	59	20	77
1	3	60	15	77
1	3	61	19	82
1	3	62	8	79
1	3	63	15	86
1	3	64	11	32
1	3	65	10	89
1	3	66	12	68
1	3	67	11	43
1	3	68	12	53
1	3	69	9	56
1	3	70	4	58
1	3	71	9	66
1	3	72	5	49
1	3	73	8	61
1	3	74	5	66
1	3	75	6	68
1	3	76	1	60
1	3	77	3	44
1	3	78	1	67
1	3	79	2	55
1	3	80	4	60
1	3	81	3	59
1	3	82	2	70
1	3	83	2	44
1	3	84	3	41
1	3	85	3	44
1	3	86	1	53
1	3	87	3	45
1	3	88	1	29
1	3	89	2	39
1	3	90	2	59
1	3	91	0	19
1	3	92	0	12
1	3	93	0	9
1	3	94	0	6
1	3	95	0	11
1	3	96	0	8
1	3	97	0	3
1	3	98	0	4
1	3	99	0	2
1	3	100	22	7
1	4	0	130	0
1	4	1	167	264
1	4	2	170	142
1	4	3	184	121
1	4	4	173	80
1	4	5	83	86
1	4	6	109	110
1	4	7	86	99
1	4	8	101	77
1	4	9	93	75
1	4	10	95	50
1	4	11	91	71
1	4	12	94	103
1	4	13	88	218
1	4	14	94	280
1	4	15	317	297
1	4	16	212	436
1	4	17	259	702
1	4	18	226	1252
1	4	19	284	1596
1	4	20	1114	2059
1	4	21	1173	2343
1	4	22	1193	2757
1	4	23	1164	3208
1	4	24	1152	3462
1	4	25	2252	3608
1	4	26	2376	3676
1	4	27	2332	3635
1	4	28	2325	3319
1	4	29	2280	3071
1	4	30	2611	3178
1	4	31	2664	3107
1	4	32	2561	2805
1	4	33	2568	2673
1	4	34	2617	2587
1	4	35	1566	2522
1	4	36	1622	2235
1	4	37	1594	2155
1	4	38	1610	1887
1	4	39	1551	1645
1	4	40	553	1558
1	4	41	537	1292
1	4	42	607	1146
1	4	43	560	898
1	4	44	516	826
1	4	45	191	709
1	4	46	183	529
1	4	47	184	420
1	4	48	165	348
1	4	49	172	281
1	4	50	66	269
1	4	51	98	254
1	4	52	97	173
1	4	53	85	205
1	4	54	70	212
1	4	55	76	191
1	4	56	83	169
1	4	57	82	174
1	4	58	94	173
1	4	59	85	163
1	4	60	31	173
1	4	61	20	177
1	4	62	18	164
1	4	63	26	156
1	4	64	33	108
1	4	65	50	171
1	4	66	41	171
1	4	67	55	134
1	4	68	51	170
1	4	69	38	160
1	4	70	27	182
1	4	71	29	173
1	4	72	23	162
1	4	73	27	170
1	4	74	20	202
1	4	75	11	206
1	4	76	15	188
1	4	77	18	181
1	4	78	14	216
1	4	79	12	177
1	4	80	10	200
1	4	81	19	200
1	4	82	10	204
1	4	83	12	159
1	4	84	5	174
1	4	85	5	134
1	4	86	3	143
1	4	87	7	133
1	4	88	1	128
1	4	89	1	118
1	4	90	2	172
1	4	91	0	72
1	4	92	0	80
1	4	93	0	59
1	4	94	0	40
1	4	95	0	34
1	4	96	0	26
1	4	97	0	29
1	4	98	0	24
1	4	99	0	16
1	4	100	95	9
1	5	0	92	0
1	5	1	163	216
1	5	2	118	95
1	5	3	128	94
1	5	4	126	46
1	5	5	107	30
1	5	6	121	72
1	5	7	111	69
1	5	8	131	54
1	5	9	113	26
1	5	10	183	26
1	5	11	172	42
1	5	12	197	71
1	5	13	157	69
1	5	14	164	82
1	5	15	522	111
1	5	16	456	256
1	5	17	457	363
1	5	18	479	466
1	5	19	525	541
1	5	20	735	778
1	5	21	772	1088
1	5	22	827	1192
1	5	23	830	1237
1	5	24	760	1384
1	5	25	736	1511
1	5	26	775	1385
1	5	27	828	1300
1	5	28	783	1118
1	5	29	772	1011
1	5	30	417	970
1	5	31	450	807
1	5	32	447	675
1	5	33	451	568
1	5	34	425	505
1	5	35	173	488
1	5	36	202	360
1	5	37	203	328
1	5	38	171	307
1	5	39	189	297
1	5	40	93	250
1	5	41	98	210
1	5	42	108	208
1	5	43	101	191
1	5	44	99	173
1	5	45	75	150
1	5	46	79	126
1	5	47	68	129
1	5	48	56	118
1	5	49	47	80
1	5	50	54	104
1	5	51	59	109
1	5	52	66	84
1	5	53	44	95
1	5	54	46	109
1	5	55	32	70
1	5	56	30	88
1	5	57	20	94
1	5	58	22	75
1	5	59	29	97
1	5	60	20	90
1	5	61	27	73
1	5	62	17	95
1	5	63	17	100
1	5	64	27	58
1	5	65	16	96
1	5	66	13	66
1	5	67	34	59
1	5	68	26	62
1	5	69	26	84
1	5	70	11	98
1	5	71	10	98
1	5	72	15	101
1	5	73	12	86
1	5	74	12	128
1	5	75	14	105
1	5	76	7	133
1	5	77	8	117
1	5	78	11	99
1	5	79	6	99
1	5	80	8	96
1	5	81	5	112
1	5	82	2	119
1	5	83	10	82
1	5	84	11	74
1	5	85	2	93
1	5	86	1	76
1	5	87	2	75
1	5	88	1	63
1	5	89	2	39
1	5	90	0	82
1	5	91	0	36
1	5	92	0	29
1	5	93	0	15
1	5	94	0	12
1	5	95	0	6
1	5	96	0	14
1	5	97	0	8
1	5	98	0	10
1	5	99	0	8
1	5	100	67	7
2	0	0	0	0
2	0	1	3616	3520
2	0	2	1736	2112
2	0	3	1605	1294
2	0	4	1731	955
2	0	5	1148	601
2	0	6	706	1113
2	0	7	584	1095
2	0	8	633	929
2	0	9	677	701
2	0	10	920	524
2	0	11	990	457
2	0	12	1018	373
2	0	13	1016	364
2	0	14	1063	352
2	0	15	2535	442
2	0	16	3182	563
2	0	17	3999	709
2	0	18	5741	1329
2	0	19	8675	2148
2	0	20	10450	5542
2	0	21	12499	7338
2	0	22	14987	8970
2	0	23	14366	8432
2	0	24	13615	8714
2	0	25	12640	9839
2	0	26	12023	9415
2	0	27	11250	8701
2	0	28	11307	7236
2	0	29	10296	6100
2	0	30	7175	6044
2	0	31	6607	4910
2	0	32	6023	4591
2	0	33	5083	4416
2	0	34	4812	4099
2	0	35	4245	4156
2	0	36	3790	3972
2	0	37	3627	3843
2	0	38	3493	3820
2	0	39	3078	3556
2	0	40	2145	3009
2	0	41	1753	3256
2	0	42	1569	3103
2	0	43	1517	3287
2	0	44	1239	3260
2	0	45	1565	2867
2	0	46	1512	2781
2	0	47	1441	2717
2	0	48	1442	2792
2	0	49	1389	2724
2	0	50	1713	2845
2	0	51	1665	2750
2	0	52	1719	2854
2	0	53	1502	3165
2	0	54	1634	3564
2	0	55	1150	3307
2	0	56	1055	3403
2	0	57	1052	3381
2	0	58	1036	3373
2	0	59	778	3837
2	0	60	822	3960
2	0	61	666	4357
2	0	62	624	4682
2	0	63	499	5189
2	0	64	1197	5045
2	0	65	625	7011
2	0	66	501	7240
2	0	67	980	5721
2	0	68	604	7092
2	0	69	639	7788
2	0	70	393	8436
2	0	71	458	7345
2	0	72	468	7285
2	0	73	480	8325
2	0	74	407	9191
2	0	75	315	9817
2	0	76	360	10441
2	0	77	310	10843
2	0	78	268	11430
2	0	79	264	11818
2	0	80	203	13384
2	0	81	198	14076
2	0	82	194	15162
2	0	83	210	15149
2	0	84	133	15565
2	0	85	175	15385
2	0	86	162	15606
2	0	87	198	15790
2	0	88	169	15082
2	0	89	147	14934
2	0	90	327	15630
2	0	91	0	13744
2	0	92	0	13733
2	0	93	0	11119
2	0	94	0	7187
2	0	95	0	5896
2	0	96	0	5626
2	0	97	0	4603
2	0	98	0	3965
2	0	99	0	2914
2	0	100	0	2096
2	1	0	15	0
2	1	1	13	78
2	1	2	22	43
2	1	3	20	26
2	1	4	24	13
2	1	5	20	18
2	1	6	25	27
2	1	7	20	25
2	1	8	16	18
2	1	9	17	20
2	1	10	40	14
2	1	11	23	13
2	1	12	27	11
2	1	13	31	31
2	1	14	33	37
2	1	15	118	65
2	1	16	97	56
2	1	17	102	98
2	1	18	91	185
2	1	19	80	308
2	1	20	126	353
2	1	21	125	390
2	1	22	126	484
2	1	23	116	556
2	1	24	135	647
2	1	25	92	673
2	1	26	123	751
2	1	27	122	709
2	1	28	92	635
2	1	29	120	487
2	1	30	59	493
2	1	31	73	446
2	1	32	55	446
2	1	33	61	343
2	1	34	64	249
2	1	35	36	231
2	1	36	37	195
2	1	37	43	193
2	1	38	35	162
2	1	39	37	155
2	1	40	21	123
2	1	41	28	120
2	1	42	16	113
2	1	43	30	115
2	1	44	27	94
2	1	45	11	79
2	1	46	18	81
2	1	47	15	68
2	1	48	13	60
2	1	49	16	50
2	1	50	7	54
2	1	51	9	40
2	1	52	7	48
2	1	53	11	35
2	1	54	8	47
2	1	55	10	36
2	1	56	2	27
2	1	57	7	28
2	1	58	2	24
2	1	59	5	36
2	1	60	6	26
2	1	61	5	23
2	1	62	3	28
2	1	63	1	32
2	1	64	3	16
2	1	65	3	30
2	1	66	4	22
2	1	67	6	26
2	1	68	5	29
2	1	69	5	31
2	1	70	0	40
2	1	71	0	29
2	1	72	3	41
2	1	73	4	35
2	1	74	5	38
2	1	75	0	53
2	1	76	0	38
2	1	77	1	45
2	1	78	4	40
2	1	79	0	43
2	1	80	0	25
2	1	81	2	32
2	1	82	2	30
2	1	83	2	35
2	1	84	0	17
2	1	85	3	24
2	1	86	1	19
2	1	87	0	10
2	1	88	0	18
2	1	89	0	7
2	1	90	0	19
2	1	91	0	5
2	1	92	0	6
2	1	93	0	4
2	1	94	0	0
2	1	95	0	1
2	1	96	0	2
2	1	97	0	1
2	1	98	0	1
2	1	99	0	1
2	1	100	8	0
2	2	0	181	0
2	2	1	202	164
2	2	2	216	93
2	2	3	221	84
2	2	4	199	82
2	2	5	223	80
2	2	6	221	83
2	2	7	208	102
2	2	8	226	98
2	2	9	221	95
2	2	10	331	94
2	2	11	293	83
2	2	12	337	137
2	2	13	329	159
2	2	14	333	217
2	2	15	522	279
2	2	16	389	330
2	2	17	381	430
2	2	18	384	534
2	2	19	432	571
2	2	20	571	785
2	2	21	553	877
2	2	22	577	968
2	2	23	568	964
2	2	24	598	1072
2	2	25	616	1113
2	2	26	653	1105
2	2	27	678	1124
2	2	28	646	1106
2	2	29	664	1024
2	2	30	518	953
2	2	31	480	1014
2	2	32	463	954
2	2	33	491	823
2	2	34	492	791
2	2	35	338	753
2	2	36	337	673
2	2	37	321	661
2	2	38	324	599
2	2	39	321	510
2	2	40	189	472
2	2	41	232	388
2	2	42	170	375
2	2	43	199	362
2	2	44	202	319
2	2	45	158	271
