Time	Ethnicity	Age	Number
2011.1	0	0	515999
2011.1	0	1	507529
2011.1	0	2	502141
2011.1	0	3	502107
2011.1	0	4	492746
2011.1	0	5	481616
2011.1	0	6	461581
2011.1	0	7	461450
2011.1	0	8	446336
2011.1	0	9	449006
2011.1	0	10	465718
2011.1	0	11	484536
2011.1	0	12	499127
2011.1	0	13	508174
2011.1	0	14	520167
2011.1	0	15	530799
2011.1	0	16	529797
2011.1	0	17	544484
2011.1	0	18	551676
2011.1	0	19	573199
2011.1	0	20	591160
2011.1	0	21	572062
2011.1	0	22	571889
2011.1	0	23	583930
2011.1	0	24	571649
2011.1	0	25	584114
2011.1	0	26	582605
2011.1	0	27	577639
2011.1	0	28	576456
2011.1	0	29	582978
2011.1	0	30	593392
2011.1	0	31	584368
2011.1	0	32	552417
2011.1	0	33	519180
2011.1	0	34	520917
2011.1	0	35	533847
2011.1	0	36	555489
2011.1	0	37	572447
2011.1	0	38	606455
2011.1	0	39	643683
2011.1	0	40	655899
2011.1	0	41	645033
2011.1	0	42	666592
2011.1	0	43	670012
2011.1	0	44	687834
2011.1	0	45	691662
2011.1	0	46	700109
2011.1	0	47	689682
2011.1	0	48	678388
2011.1	0	49	663859
2011.1	0	50	644043
2011.1	0	51	615869
2011.1	0	52	610156
2011.1	0	53	599798
2011.1	0	54	575779
2011.1	0	55	555664
2011.1	0	56	546217
2011.1	0	57	554131
2011.1	0	58	541561
2011.1	0	59	539009
2011.1	0	60	544650
2011.1	0	61	566517
2011.1	0	62	585838
2011.1	0	63	644069
2011.1	0	64	653402
2011.1	0	65	497137
2011.1	0	66	527303
2011.1	0	67	491212
2011.1	0	68	462862
2011.1	0	69	401187
2011.1	0	70	383761
2011.1	0	71	400468
2011.1	0	72	393084
2011.1	0	73	380822
2011.1	0	74	365011
2011.1	0	75	346901
2011.1	0	76	331257
2011.1	0	77	309875
2011.1	0	78	302548
2011.1	0	79	293161
2011.1	0	80	284453
2011.1	0	81	261868
2011.1	0	82	241246
2011.1	0	83	218762
2011.1	0	84	205210
2011.1	0	85	186369
2011.1	0	86	166490
2011.1	0	87	149746
2011.1	0	88	132574
2011.1	0	89	121320
2011.1	0	90	107791
2011.1	0	91	80743
2011.1	0	92	48798
2011.1	0	93	36819
2011.1	0	94	33481
2011.1	0	95	25869
2011.1	0	96	20664
2011.1	0	97	14744
2011.1	0	98	10134
2011.1	0	99	6571
2011.1	0	100	10232
2011.1	0	101	0
2011.1	0	102	0
2011.1	0	103	0
2011.1	0	104	0
2011.1	0	105	0
2011.1	0	106	0
2011.1	0	107	0
2011.1	0	108	0
2011.1	0	109	0
2011.1	0	110	0
2011.1	0	111	0
2011.1	0	112	0
2011.1	0	113	0
2011.1	0	114	0
2011.1	0	115	0
2011.1	0	116	0
2011.1	0	117	0
2011.1	0	118	0
2011.1	0	119	0
2011.1	0	120	0
2011.1	1	0	9641
2011.1	1	1	9660
2011.1	1	2	9840
2011.1	1	3	10389
2011.1	1	4	10234
2011.1	1	5	10183
2011.1	1	6	9964
2011.1	1	7	10063
2011.1	1	8	9819
2011.1	1	9	9603
2011.1	1	10	9030
2011.1	1	11	8828
2011.1	1	12	9033
2011.1	1	13	9150
2011.1	1	14	8774
2011.1	1	15	8904
2011.1	1	16	8544
2011.1	1	17	8479
2011.1	1	18	8441
2011.1	1	19	8687
2011.1	1	20	9540
2011.1	1	21	9977
2011.1	1	22	10606
2011.1	1	23	11192
2011.1	1	24	11004
2011.1	1	25	11043
2011.1	1	26	11092
2011.1	1	27	10685
2011.1	1	28	10793
2011.1	1	29	10810
2011.1	1	30	10663
2011.1	1	31	10160
2011.1	1	32	9081
2011.1	1	33	9031
2011.1	1	34	9319
2011.1	1	35	8470
2011.1	1	36	8385
2011.1	1	37	8517
2011.1	1	38	6754
2011.1	1	39	6797
2011.1	1	40	6426
2011.1	1	41	5812
2011.1	1	42	5109
2011.1	1	43	4682
2011.1	1	44	4070
2011.1	1	45	3504
2011.1	1	46	3080
2011.1	1	47	3296
2011.1	1	48	3103
2011.1	1	49	2869
2011.1	1	50	2557
2011.1	1	51	2620
2011.1	1	52	2549
2011.1	1	53	2527
2011.1	1	54	2498
2011.1	1	55	2169
2011.1	1	56	2160
2011.1	1	57	1933
2011.1	1	58	2005
2011.1	1	59	1635
2011.1	1	60	1405
2011.1	1	61	1208
2011.1	1	62	973
2011.1	1	63	898
2011.1	1	64	814
