age,sex,ethgrp,cob,n
0,F,Bangladeshi,UK,1
0,F,Black-African,UK,2
0,F,Indian,UK,2
0,F,Mixed-Other,UK,1
0,F,Mixed-Other,NA,1
0,F,Pakistani,UK,4
0,F,White,UK,2
0,M,Black-African,UK,3
0,M,Indian,UK,2
0,M,Mixed-Other,UK,2
0,M,White,UK,3
1,F,Black-African,UK,6
1,F,Black-Caribbean,UK,1
1,F,Indian,UK,2
1,F,Indian,NA,1
1,F,Mixed-Other,UK,5
1,F,Pakistani,UK,1
1,F,White,UK,1
1,M,Bangladeshi,UK,1
1,M,Black-African,UK,5
1,M,Mixed-Other,UK,2
1,M,Pakistani,Non_UK,1
1,M,Pakistani,UK,3
1,M,White,UK,3
2,F,Black-African,UK,3
2,F,Black-Other,UK,1
2,F,Indian,Non_UK,3
2,F,Indian,UK,1
2,F,Mixed-Other,UK,1
2,F,Pakistani,Non_UK,2
2,F,Pakistani,UK,3
2,F,White,Non_UK,2
2,F,White,UK,2
2,M,Black-African,UK,2
2,M,Mixed-Other,UK,1
2,M,White,UK,5
3,F,Black-African,UK,3
3,F,Indian,UK,2
3,F,Pakistani,UK,1
3,F,White,Non_UK,1
3,F,White,UK,3
3,M,Bangladeshi,UK,1
3,M,Black-African,Non_UK,1
3,M,Black-African,UK,1
3,M,Black-African,NA,1
3,M,Black-Caribbean,UK,1
3,M,Mixed-Other,Non_UK,1
3,M,Mixed-Other,UK,1
3,M,Pakistani,UK,2
3,M,White,Non_UK,1
3,M,White,UK,5
4,F,Bangladeshi,UK,1
4,F,Black-African,UK,1
4,F,Indian,UK,2
4,F,Mixed-Other,UK,1
4,F,Pakistani,UK,3
4,F,White,Non_UK,2
4,F,White,UK,1
4,M,Black-African,UK,1
4,M,Indian,Non_UK,1
4,M,Indian,UK,1
4,M,Mixed-Other,UK,2
4,M,Mixed-Other,NA,1
4,M,Pakistani,UK,1
4,M,White,Non_UK,2
5,F,Bangladeshi,UK,2
5,F,Black-African,UK,6
5,F,Black-African,NA,1
5,F,Pakistani,Non_UK,1
5,F,NA,UK,1
5,M,Black-African,Non_UK,1
5,M,Black-African,UK,1
5,M,Mixed-Other,UK,1
5,M,White,Non_UK,1
5,M,White,UK,2
6,F,Black-African,NA,1
6,F,Pakistani,UK,2
6,F,White,Non_UK,1
6,F,White,UK,2
6,M,Black-African,Non_UK,2
6,M,Indian,Non_UK,1
6,M,Indian,UK,1
6,M,Mixed-Other,UK,2
6,M,White,Non_UK,1
6,M,White,UK,1
6,M,NA,UK,1
7,F,Black-African,UK,1
7,F,Mixed-Other,UK,2
7,F,White,UK,3
